name,recclass,mass,fall,year,reclat,reclong
Ramlat as Sahmah 339,H3.6-6,1035.8,Found,2010,20.798820,55.462080
Ramlat as Sahmah 338,H3.6,934.7,Found,2010,20.802650,55.466780
Ramlat as Sahmah 337,H3.6,1119.8,Found,2010,20.814030,55.461770
Hayy 001,H5,4208,Found,2010,20.841320,57.629950
Umm as Samim 032,H4,4335.1,Found,2010,21.048320,55.573720
Umm as Samim 027,L6,2907,Found,2010,21.113030,55.540830
Umm as Samim 024,Eucrite-cm,406.8,Found,2010,21.126370,55.526120
Umm as Samim 015,L6,395.66,Found,2010,21.345330,55.463000
Al Huwaysah 012,H5,4694.9,Found,2010,22.677520,55.340270
Al Huwaysah 016,H5,1330.9,Found,2010,22.698130,55.333600
Al Huwaysah 005,L(LL)3.5-3.7,1228.1,Found,2010,22.733420,55.331220
Al Huwaysah 008,H4,356.2,Found,2010,22.737970,55.321250
Al Huwaysah 017,L6,439.58,Found,2010,22.738520,55.362470
Al Huwaysah 010,Achondrite-ung,1411.8,Found,2010,22.748680,55.472180
Al Huwaysah 009,H6,3407.8,Found,2010,22.757470,55.414020
Huaxi,H5,1600,Fell,2010,26.464690,106.632410
Bou Kra 002,L5,606,Found,2010,26.748530,-12.709780
Dar al Gani 1059,H6,1470,Found,2010,28.287670,15.494670
Tieret 010,H3,5150,Found,2010,30.980220,10.006520
Bou Azarif,H5,100000,Found,2010,31.156430,-5.152620
Ksar el Hajoui,L6,3100,Found,2010,31.993170,-2.993470
Ksar Ghilane 002,Martian (shergottite),538,Found,2010,32.806250,9.832830
Plainview (e),H5,1250,Found,2010,34.185130,-101.705580
Hart,CK3,966,Found,2010,34.377180,-102.116720
Aubrey Hills,H6,560.8,Found,2010,34.380630,-114.167050
Stump Spring 083,LL6,13700,Found,2010,35.987280,-115.858280
Mifflin,L5,3584,Fell,2010,42.907500,-90.365560
Košice,H5,4300,Fell,2010,48.763670,21.176330
San Juan 038,H5,460,Found,2009,-25.441833,-69.881667
San Juan 033,H6,357,Found,2009,-25.440833,-69.868833
San Juan 034,L6,814,Found,2009,-25.440333,-69.868167
Catalina 026,H~5,845,Found,2009,-25.233330,-69.716670
Dhofar 1506,L~6,362.2,Found,2009,18.160300,54.177170
Dhofar 1624,H-melt rock,621,Found,2009,18.163580,54.275420
Dhofar 1558,L4,11400,Found,2009,18.393170,54.664330
Dhofar 1623,Ureilite,890,Found,2009,18.451700,54.206530
Dhofar 1557,L6,432,Found,2009,18.460500,54.658000
Dhofar 1641,CO3,390,Found,2009,18.472030,54.128400
Dhofar 1575,Ureilite,2800,Found,2009,18.533330,54.133330
Dhofar 1508,L~5,1645,Found,2009,18.621300,54.436420
Dhofar 1511,L~5,17973,Found,2009,18.639880,54.248000
Dhofar 1555,H4,605,Found,2009,18.647170,54.528330
Dhofar 1554,L5,3954,Found,2009,18.666670,54.150830
Dhofar 1507,L~6,2400,Found,2009,18.680380,54.147220
Dhofar 1556,H4,1722,Found,2009,18.728830,54.577170
Dhofar 1553,H4,1006,Found,2009,18.850330,54.384500
Shalim 009,L6,9472.2,Found,2009,18.872530,55.475920
Dhofar 1568,H4,1460,Found,2009,18.883330,54.683830
Dhofar 1642,H6,1540,Found,2009,18.926180,54.725300
Shalim 013,H4,405.8,Found,2009,18.986450,55.586480
Jiddat al Harasis 614,H4/5,3532.9,Found,2009,19.010550,55.312550
Jiddat al Harasis 616,H4,360.5,Found,2009,19.171350,55.421700
Dhofar 1500,L~6,2448,Found,2009,19.182580,54.594500
Al Huqf 070,L4,2632.8,Found,2009,19.187980,57.109780
Jiddat al Harasis 589,H5,666.6,Found,2009,19.335750,56.937930
Dhofar 1513,L5,3782,Found,2009,19.337660,54.532930
Jiddat al Harasis 579,L4-6,475.1,Found,2009,19.354220,56.752870
Jiddat al Harasis 593,H5,1725.1,Found,2009,19.420000,56.703330
Jiddat al Harasis 580,H5,1929,Found,2009,19.420170,56.701550
Jiddat al Harasis 592,H5,423.2,Found,2009,19.420450,56.699630
Jiddat al Harasis 583,H5,1272.5,Found,2009,19.420670,56.699280
Jiddat al Harasis 581,H5,375.1,Found,2009,19.421970,56.699080
Jiddat al Harasis 582,L6,1647.5,Found,2009,19.422080,56.699430
Jiddat al Harasis 590,H5,1044,Found,2009,19.422500,56.700180
Jiddat al Harasis 585,H5,408.7,Found,2009,19.438730,56.677480
Jiddat al Harasis 595,L5,929.1,Found,2009,19.508750,56.646350
Jiddat al Harasis 568,H4-6,3249,Found,2009,19.701280,56.367130
Jiddat al Harasis 584,H6,715.2,Found,2009,19.706700,56.751270
Jiddat al Harasis 586,H5,3568.5,Found,2009,19.742880,56.650620
Jiddat al Harasis 571,H4-6,802.6,Found,2009,19.750730,56.330880
Jiddat al Harasis 572,H5-6,417.6,Found,2009,19.750920,56.331050
Jiddat al Harasis 570,H4-6,4747.9,Found,2009,19.752400,56.330400
Jiddat al Harasis 574,H4-6,13000,Found,2009,19.753770,56.296920
Jiddat al Harasis 578,H6,1064.3,Found,2009,19.764200,56.298880
Jiddat al Harasis 604,H4-6,754,Found,2009,19.789570,55.976180
Jiddat al Harasis 600,L6,5750.8,Found,2009,19.795520,55.683100
Jiddat al Harasis 587,H5,1721.5,Found,2009,19.804850,56.670470
Jiddat al Harasis 628,H5,16000,Found,2009,19.839560,55.767560
Jiddat al Harasis 609,L6,442.9,Found,2009,19.859800,55.946350
Jiddat al Harasis 610,H3-5,457.5,Found,2009,19.872350,55.980850
Jiddat al Harasis 607,L6,1317.6,Found,2009,19.908030,55.908600
Sayh al Uhaymir 500,H6,1269,Found,2009,20.126170,56.562830
Sayh al Uhaymir 497,L6,415,Found,2009,20.211670,56.604670
Ramlat as Sahmah 325,L6,850.8,Found,2009,20.260430,56.490150
Sayh al Uhaymir 518,L5,390.3,Found,2009,20.371530,56.510820
Sayh al Uhaymir 519,L5,403.2,Found,2009,20.371650,56.510170
Sayh al Uhaymir 521,H5,350.1,Found,2009,20.404320,56.642050
Sayh al Uhaymir 522,L6,977.8,Found,2009,20.407020,56.652280
Ramlat as Sahmah 328,L6,1732.7,Found,2009,20.420850,56.499870
Ramlat as Sahmah 304,H6,373.4,Found,2009,20.438020,56.102780
Ramlat as Sahmah 287,Diogenite,1962,Found,2009,20.476780,55.527880
Ramlat as Sahmah 308,H4,1352,Found,2009,20.487850,55.820450
Ramlat as Sahmah 286,H4-5,4445.2,Found,2009,20.507880,55.775470
Ramlat as Sahmah 284,LL5,1489.6,Found,2009,20.519470,55.800970
Ramlat as Sahmah 290,L6,446.8,Found,2009,20.523400,55.530720
Sayh al Uhaymir 496,H4,732,Found,2009,20.527830,57.404500
Sayh al Uhaymir 502,L5,541,Found,2009,20.530000,57.367000
Sayh al Uhaymir 498,L5,4053,Found,2009,20.532000,57.335000
Ramlat as Sahmah 292,L6,1991.7,Found,2009,20.598320,55.523980
Ramlat as Sahmah 300,L6,419.9,Found,2009,20.666420,55.314020
Ramlat as Sahmah 298,L6,389.2,Found,2009,20.667130,55.315720
